Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,82.0,7.8,M
Need for Speed Carbon: Own the City,PSP,2006,Racing,73.0,7.9,E10+
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,66.0,8.2,T
pro evolution soccer 2011,PS3,2010,Sports,77.0,6.8,E
ATV Offroad Fury,PS2,2001,Racing,82.0,8.4,E
Need for Speed: ProStreet,PS2,2007,Racing,62.0,6.2,E10+
Guitar Hero,PS2,2005,Misc,91.0,8.7,T
Madden NFL 11,PS3,2010,Sports,83.0,6.1,E
Half-Life 2,PC,2004,Shooter,96.0,9.1,M
The Incredibles,PS2,2004,Action,62.0,7.6,T
Madden NFL 08,X360,2007,Sports,85.0,6.4,E
Tony Hawk's Underground 2,PS2,2004,Sports,83.0,8.8,T
Zumba Fitness,X360,2010,Sports,42.0,5.5,E
Madden NFL 10,PS3,2009,Sports,85.0,6.8,E
Midnight Club: Los Angeles,X360,2008,Racing,81.0,8.5,T
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,71.0,7.2,T
Resident Evil - Code: Veronica X,PS2,2001,Action,84.0,8.4,M
James Bond 007: Everything or Nothing,PS2,2004,Shooter,84.0,9.1,T
Need For Speed: High Stakes,PS,1999,Racing,86.0,8.5,E
LEGO Star Wars: The Complete Saga,PS3,2007,Action,80.0,6.7,E10+
Need for Speed Underground 2,XB,2004,Racing,77.0,8.7,E
Pro Evolution Soccer 2010,PS3,2009,Sports,78.0,6.7,E
FIFA Soccer 09,PS2,2008,Sports,82.0,6.9,E
LEGO Harry Potter: Years 1-4,DS,2010,Action,72.0,7.2,E10+
The Sims 3,X360,2010,Simulation,76.0,7.1,T
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,68.0,8.2,E
Kirby: Nightmare in Dream Land,GBA,2002,Platform,81.0,8.9,E
Wario Land 4,GBA,2001,Platform,88.0,8.9,E
Sonic's Ultimate Genesis Collection,PS3,2009,Misc,80.0,8.6,E10+
Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,84.0,9,M
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,87.0,9.4,E
Guitar Hero III: Legends of Rock,PS3,2007,Misc,83.0,7.8,T
Sonic Advance,GBA,2001,Platform,87.0,8.1,E
Super Monkey Ball: Banana Blitz,Wii,2006,Misc,74.0,5.7,E
Spyro: Season of Ice,GBA,2001,Platform,74.0,8,E
Dissidia: Final Fantasy,PSP,2008,Fighting,79.0,8,T
Prince of Persia: The Sands of Time,PS2,2003,Action,92.0,8.8,T
